valid_start,valid_end,station_number,T_Celsius,MinT_Celsius,MaxT_Celsius,Precip_mm
1/01/2017 0:00,1/01/2017 1:00,70351,15.8,15.4,16.2,0
1/01/2017 1:00,1/01/2017 2:00,70351,15.5,14.8,15.6,0
1/01/2017 2:00,1/01/2017 3:00,70351,14.8,14.1,15.1,0
1/01/2017 3:00,1/01/2017 4:00,70351,14.2,13.5,14.6,0
1/01/2017 4:00,1/01/2017 5:00,70351,14.4,12.6,14.7,0
1/01/2017 5:00,1/01/2017 6:00,70351,13.5,13.5,15.7,0
1/01/2017 6:00,1/01/2017 7:00,70351,15.7,15.6,19.3,0
1/01/2017 7:00,1/01/2017 8:00,70351,19.2,19.2,21.2,0
1/01/2017 8:00,1/01/2017 9:00,70351,21,20.8,23.6,0
1/01/2017 9:00,1/01/2017 10:00,70351,23,22.3,23.5,0
1/01/2017 10:00,1/01/2017 11:00,70351,23.3,23.1,26.1,0
1/01/2017 11:00,1/01/2017 12:00,70351,26,25.5,27.3,0
1/01/2017 12:00,1/01/2017 13:00,70351,26.8,26.3,27.8,0
1/01/2017 13:00,1/01/2017 14:00,70351,26.8,26.6,27.8,0
1/01/2017 14:00,1/01/2017 15:00,70351,26.8,26.1,27.5,0
1/01/2017 15:00,1/01/2017 16:00,70351,26.1,26,26.7,0
1/01/2017 16:00,1/01/2017 17:00,70351,26.4,23.4,26.5,0
1/01/2017 17:00,1/01/2017 18:00,70351,23.6,23.5,24.3,0
1/01/2017 18:00,1/01/2017 19:00,70351,23.9,23,24,0
1/01/2017 19:00,1/01/2017 20:00,70351,22.9,22.2,23.2,0
1/01/2017 20:00,1/01/2017 21:00,70351,22.2,21.3,22.3,0
1/01/2017 21:00,1/01/2017 22:00,70351,21.3,20.7,21.3,0
1/01/2017 22:00,1/01/2017 23:00,70351,21.1,20.2,21.1,0
1/01/2017 23:00,2/01/2017 0:00,70351,20.4,19.3,20.6,0
2/01/2017 0:00,2/01/2017 1:00,70351,19.3,17.7,19.5,0
2/01/2017 1:00,2/01/2017 2:00,70351,17.7,16.3,17.9,0
2/01/2017 2:00,2/01/2017 3:00,70351,16.5,16.3,17.1,0
2/01/2017 3:00,2/01/2017 4:00,70351,16.4,15.8,17,0
2/01/2017 4:00,2/01/2017 5:00,70351,16.6,15.7,16.8,0
2/01/2017 5:00,2/01/2017 6:00,70351,16.3,16.2,17.7,0
2/01/2017 6:00,2/01/2017 7:00,70351,17.7,17.6,19.3,0
2/01/2017 7:00,2/01/2017 8:00,70351,19.4,19.2,21.1,0
2/01/2017 8:00,2/01/2017 9:00,70351,19.6,19.6,21.7,0
2/01/2017 9:00,2/01/2017 10:00,70351,21.7,21.5,24.2,0
2/01/2017 10:00,2/01/2017 11:00,70351,24.3,23.3,26,0
2/01/2017 11:00,2/01/2017 12:00,70351,25.5,24.9,27.2,0
